id,name,team_id,pos_id,price,eo,xp_6,xp_7,xp_8,xp_9,xp_10,xp_11,xp_12,xp_13,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,cap_xp_6,cap_xp_7,cap_xp_8,cap_xp_9,cap_xp_10,cap_xp_11,cap_xp_12,cap_xp_13,horizon_xp,next_gw_xp,in_xi,is_captain,is_vice,season,bank,free_transfers
98,Janelt,4,3,5.0,0.025,4.323914083209045,4.885084801338185,4.464847113676018,3.835833660863176,3.7697362179907263,4.603104825504518,4.72205503535251,4.828990731144196,2.6874074016089864,3.0854233115122294,2.9556404394602582,2.0872917834140488,2.4364308800912045,2.815584160769187,2.9837310538224506,3.1328354965255487,5.364462387364277,6.063255962128785,5.567598862740348,4.640872287701838,4.67925854042334,5.663636584361378,5.932448164145939,5.998494915343376,35.43356646907837,4.323914083209045,0,0,0,2026-2027,3.8,5
127,Gomez,5,3,5.0,0.04,5.872430945633655,3.9431747786995204,5.010398671510711,4.15785382570293,4.6902833845369125,4.9749970774960754,5.336044343906976,5.107612120254524,3.6916087883607416,2.244235574571929,3.588433011372534,2.7251390378147087,3.2890600569035193,3.367245203946839,3.594162556592543,3.6126045069553157,7.285896209463965,4.786140514024114,6.386934384942528,5.230916085601523,5.9603923662390095,6.248408784161952,6.691628252664274,6.386026408078234,39.092795147741306,5.872430945633655,1,0,1,2026-2027,3.8,5
566,Silva,3,2,5.0,0.004,4.7660995149076335,5.758031524228121,4.266320088334029,4.202260528153632,4.281254634967012,4.728298525011853,6.122867977534907,2.4980516689177397,2.6683945320348768,2.706474235916138,2.3077087061002968,2.3991873279885505,2.2910117305201965,2.576469404057977,3.090401693299216,1.6942479688531884,5.7665658708819105,6.798331183901601,5.185968373499215,5.095949686621647,5.117364076440565,5.757800237954573,7.301339302507387,3.1498686080302405,36.62318446205493,4.7660995149076335,1,0,0,2026-2027,3.8,5
12,Saka,1,3,9.5,0.136,5.07882596234344,4.128058696710009,5.1648300836868195,3.6905848548174873,5.136479576876678,4.368727808655677,5.1428845304317585,3.624298192593654,3.319984419219045,2.4659196934989263,3.005794939385618,2.18972082716397,3.051857653048444,2.7033433457097904,3.0435609871084677,2.0547686674473793,6.4343154523821,5.067003098801994,6.271851224472985,4.562755951016939,6.292704345844742,5.3762401074230395,6.280787674778684,4.436494564004396,36.33468970611552,5.07882596234344,1,0,0,2026-2027,3.8,5
138,Kostoulas,5,4,5.6,0.038,5.83109244020058,2.8480485825934183,3.8038475995597363,3.0592635684201963,3.2581530919415895,3.8811567175624857,3.824489419802141,3.816925048374992,3.235146919300655,1.589731051335707,2.423084577920665,1.757311158403883,1.7829695880156262,2.3043215908493506,2.376762673532147,2.4770443641100988,7.055895048721325,3.4323470096007838,4.741004671151682,3.735411249989384,3.988665182691948,4.739760992287145,4.752362044971252,4.7854943742692795,30.32297646845514,5.83109244020058,1,0,0,2026-2027,3.8,5
124,Groß,5,3,5.8,0.284,6.378192871566372,4.234161061580681,5.663848450193125,4.379227299189628,4.890765079472293,5.581433599511809,6.130388092232311,5.222377004669666,3.997707321092427,2.546512626254842,3.723137322557433,2.8423576241454196,3.4038527482470453,3.6434523010984656,3.49587349792783,3.621241303265842,7.861495886703422,5.17055554257993,7.042012280361966,5.424521295606517,6.1530089311643845,6.984042232905879,7.455586770112388,6.624606651766975,42.48039345841588,6.378192871566372,1,1,0,2026-2027,3.8,5
110,Rushworth,7,1,4.5,0.008,4.31397810263385,7.347198008149726,4.838358240212159,3.6477180459015073,4.55791718656202,4.12922961230688,4.630673518415466,2.8217750926553036,2.2841657078728166,1.5846136921457856,2.2954321957262827,2.195289815885182,2.3730457875347066,2.2393013526331624,2.443662168172662,1.5381532299433847,5.188409119109917,7.9513439619961135,5.69789201930973,4.519548604724462,5.4365261771236675,5.013866986163866,5.603103499761447,3.4284395970431736,36.28684780683692,4.31397810263385,0,0,0,2026-2027,3.8,5
304,O'Shea,12,2,4.0,0.027000000000000003,5.967880945242963,2.4048045823486994,4.678662558713011,4.198685872909368,4.703564410786609,6.283994963640569,6.249993725570033,6.4522066117924455,2.426893851590831,1.3263596294153615,2.4199547223186118,2.087745772768068,2.4764568270722456,2.7513896203507646,2.64973001390987,2.789473865877866,6.946414041681125,2.9091903302666573,5.6226508499516825,5.0025951575009096,5.639563552396262,7.356949287483397,7.268700325635171,7.520064326749113,40.9397936710037,5.967880945242963,1,0,0,2026-2027,3.8,5
368,Szoboszlai,14,3,7.0,0.32899999999999996,4.373314094967452,3.666089679263292,5.1545993044321134,5.210052711556844,4.669626654849527,3.7237641394262515,4.133418704556497,4.14360752277912,2.640126621472698,2.0991949639611427,3.03155769203613,3.2274886496768675,2.9458095064454657,2.1076541407236347,2.681681923824576,2.12144373717093,5.418175080487698,4.436604362755512,6.278123921641162,6.439213252375433,5.7965935800026775,4.549690849385488,5.156267718631037,4.989928044183771,35.0744728118311,4.373314094967452,1,0,0,2026-2027,3.8,5
379,Isak,14,4,9.1,0.225,3.843763814128642,3.7126562208250675,4.397124752540166,4.639092021409771,4.150600809797679,3.6280276862103644,3.8508581412445166,3.6107613940372367,2.1450507374860885,2.145445420602,2.514311443949584,2.731078825252529,2.3364132811027702,2.029513026651439,2.167756460859301,1.928043787833668,4.631406355221878,4.574339854292431,5.371701979779198,5.667201149214837,5.017630699699177,4.370585404782174,4.675264146785268,4.364130136992174,31.832884840193444,3.843763814128642,0,0,0,2026-2027,3.8,5
